City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
222,trincomalee,1,LK,1573517474,90,8.58,81.23,72.05,0.78
223,muros,75,ES,1573517474,100,42.77,-9.06,54.0,1.1
224,matagami,56,NG,1573517474,66,9.67,8.4,72.19,2.55
225,halifax,75,CA,1573517355,89,44.65,-63.58,41.0,8.05
226,mahibadhoo,0,MV,1573517475,72,3.78,72.97,81.66,1.74
227,kayerkan,75,RU,1573517475,84,69.35,87.76,1.4,2.24
228,urucara,100,BR,1573517475,88,-2.54,-57.76,78.1,5.39
229,taree,90,AU,1573517475,19,-31.91,152.46,86.0,8.05
230,vanimo,100,PG,1573517475,70,-2.67,141.3,80.24,5.12
231,comodoro rivadavia,18,AR,1573517475,67,-45.87,-67.48,59.0,6.93
232,lappeenranta,90,FI,1573517475,100,61.06,28.19,30.99,9.17
233,nantucket,75,US,1573517476,87,41.28,-70.1,57.2,11.41
234,cervo,81,BR,1573517476,92,-22.19,-46.24,64.47,6.87
235,upington,0,ZA,1573517476,30,-28.46,21.24,68.0,6.93
236,waipawa,100,NZ,1573517476,90,-39.94,176.59,54.61,5.73
237,rio gallegos,20,AR,1573517476,39,-51.62,-69.22,64.4,10.29
238,santa maria,40,BR,1573517264,48,-16.02,-48.01,82.4,5.82
239,pisco,100,PE,1573517476,30,-13.71,-76.2,71.6,13.87
240,skovorodino,12,RU,1573517477,77,53.99,123.94,-2.37,11.12
241,coquimbo,46,CL,1573517478,72,-29.95,-71.34,60.8,8.05
242,svetlogorsk,75,RU,1573517478,86,53.14,59.15,30.2,22.37
243,te anau,44,NZ,1573517478,66,-45.41,167.72,49.96,2.8
244,raudeberg,56,NO,1573517478,58,61.99,5.14,30.2,9.17
245,guarapari,90,BR,1573517478,83,-20.67,-40.5,80.01,9.17
246,neosho,90,US,1573517478,67,43.31,-88.52,19.99,16.11
247,sfantu gheorghe,14,RO,1573517478,100,44.65,26.83,55.0,4.7
248,otofuke,75,JP,1573517478,100,43.02,143.2,44.6,9.17
249,wanning,75,AT,1573517478,86,48.64,13.53,37.4,10.29
250,sambava,51,MG,1573517478,75,-14.27,50.17,71.26,3.13
251,encheng,63,CN,1573517479,71,22.74,107.09,64.53,1.14
252,grindavik,90,IS,1573517479,86,63.84,-22.43,41.0,4.7
253,faanui,22,PF,1573517479,81,-16.48,-151.75,78.4,16.04
254,yangcun,98,CN,1573517479,83,29.98,118.17,62.01,2.73
255,codrington,0,AU,1573517479,44,-28.95,153.24,88.0,6.93
256,prigoria,44,RO,1573517479,67,45.07,23.69,48.81,5.66
257,borodino,100,RU,1573517480,81,55.9,94.89,6.17,14.0
258,bathsheba,20,BB,1573517480,83,13.22,-59.52,80.6,18.34
259,uppsala,100,SE,1573517480,100,59.86,17.64,39.2,8.05
260,kysyl-syr,100,RU,1573517480,93,63.9,122.77,-14.27,6.22
261,rawson,99,AR,1573517480,82,-43.3,-65.11,56.7,11.59
262,lagoa,89,PT,1573517480,71,37.14,-8.45,59.0,10.29
263,oka,90,CA,1573517480,85,45.46,-74.09,21.99,10.29
264,krasnoarmeyskiy,5,RU,1573517480,44,46.12,40.39,53.01,1.57
265,tiksi,100,RU,1573517480,90,71.64,128.87,-2.82,4.9
266,mogok,28,MM,1573517480,98,22.92,96.51,64.62,1.57
267,aykhal,0,RU,1573517480,73,65.95,111.51,-29.21,4.47
268,namanyere,71,TZ,1573517481,62,-7.51,31.05,67.64,3.71
269,cam ranh,75,VN,1573517481,88,11.92,109.15,75.2,5.82
270,namibe,3,AO,1573517481,75,-15.19,12.15,72.57,3.96
271,jacareacanga,27,BR,1573517481,89,-6.22,-57.76,74.71,3.27
272,dubai,0,AE,1573517198,46,25.27,55.3,71.6,3.36
273,college,90,US,1573517481,79,64.86,-147.8,25.0,0.09
274,kamenka,73,MD,1573517481,91,48.03,28.7,37.0,5.64
275,hanzhong,75,CN,1573517481,66,33.08,107.03,54.61,1.74
276,shimanovsk,14,RU,1573517481,69,52.0,127.67,5.9,13.6
277,baft,0,IR,1573517481,26,29.23,56.61,38.26,4.76
278,muskogee,90,US,1573517482,68,35.75,-95.37,28.0,28.86
279,cap malheureux,40,MU,1573517482,94,-19.98,57.61,75.2,3.36
280,vila franca do campo,20,PT,1573517482,87,37.72,-25.43,59.0,2.24
281,kijang,0,KR,1573517482,81,35.24,129.21,48.2,4.7
282,alugan,100,PH,1573517482,90,12.22,125.48,77.43,13.65
283,lanja,0,IN,1573517482,75,16.84,73.55,70.68,2.53
284,sikasso,81,ML,1573517482,46,11.32,-5.68,83.39,2.93
285,leningradskiy,98,RU,1573517482,97,69.38,178.42,26.22,7.7
286,soller,20,DE,1573517482,86,50.73,6.56,43.0,11.41
287,torbay,90,CA,1573517368,93,47.66,-52.73,45.0,13.87
288,sibolga,92,ID,1573517396,94,1.74,98.78,71.22,2.01
289,praia,75,BR,1573517482,57,-20.25,-43.81,78.8,17.22
290,camopi,86,GF,1573517482,58,3.17,-52.33,79.03,3.0
291,pundaguitan,100,PH,1573517483,77,6.37,126.17,82.06,3.89
292,kalmunai,21,LK,1573517483,72,7.42,81.82,79.88,3.6
293,buraydah,75,SA,1573517483,100,26.33,43.97,62.6,4.7
294,ouango,100,CD,1573517483,80,4.31,22.55,69.04,2.3
295,taksimo,50,RU,1573517483,84,56.36,114.84,-15.31,2.57
296,meuselwitz,91,DE,1573517483,70,51.05,12.3,39.99,8.05
297,never,12,RU,1573517483,77,53.98,124.16,-2.37,11.12
298,saint-francois,75,FR,1573517483,86,46.42,3.91,41.0,3.36
299,jutai,66,BR,1573517483,79,-1.71,-47.89,77.29,2.91
300,zhuanghe,67,CN,1573517483,50,39.7,122.97,53.62,8.55
301,riohacha,75,CO,1573517483,83,11.54,-72.91,82.4,11.41
302,bambui,100,CM,1573517483,94,6.01,10.23,62.87,3.11
303,misratah,100,LY,1573517484,62,32.38,15.09,61.43,22.64
304,laje,45,BR,1573517484,98,-13.18,-39.42,68.02,4.76
305,synya,66,RU,1573517484,98,65.37,58.04,-3.32,4.74
306,menzelinsk,90,RU,1573517484,100,55.73,53.11,28.4,15.66
307,porosozero,100,RU,1573517484,99,62.72,32.71,34.63,3.44
308,port hawkesbury,90,CA,1573517484,80,45.62,-61.36,37.99,5.82
309,porto novo,75,BR,1573517484,82,-23.68,-45.44,68.0,6.93
310,wucheng,42,CN,1573517484,71,29.09,119.57,55.89,4.52
311,estelle,78,FR,1573517484,57,43.97,3.47,51.8,11.41
312,ambon,62,FR,1573517484,93,47.55,-2.56,50.0,5.82
313,geraldton,90,CA,1573517484,64,49.72,-86.95,1.4,6.93
314,flinders,22,AU,1573517484,9,-34.58,150.85,90.0,24.16
315,kaitangata,19,NZ,1573517484,49,-46.28,169.85,61.0,8.01
316,souillac,100,FR,1573517485,87,45.6,-0.6,44.6,4.7
317,kununurra,8,AU,1573517485,36,-15.77,128.74,91.4,3.36
318,grong,100,NO,1573517485,72,64.47,12.32,28.99,1.99
319,dovers,40,VC,1573517485,83,12.88,-61.18,80.6,12.75
320,chara,75,GR,1573517485,87,39.42,22.43,59.0,1.19
321,katsuura,20,JP,1573517485,67,33.93,134.5,60.8,4.7
322,kenai,20,US,1573517485,64,60.55,-151.26,39.0,12.75
323,charters towers,35,AU,1573517485,30,-20.07,146.27,85.17,11.41
324,visnes,100,NO,1573517486,65,59.36,5.22,44.01,5.82
325,severo-kurilsk,89,RU,1573517486,71,50.68,156.12,33.22,3.8
326,joao pinheiro,50,BR,1573517486,36,-17.74,-46.17,82.96,4.63
327,la ronge,20,CA,1573517486,56,55.1,-105.3,14.0,17.22
328,roma,75,IT,1573517256,82,41.89,12.48,59.0,6.93
329,alta floresta,100,BR,1573517486,87,-9.87,-56.08,74.44,2.75
330,murdochville,47,CA,1573517486,74,48.96,-65.49,15.62,2.68
331,huarmey,64,PE,1573517486,82,-10.07,-78.15,63.88,4.94
332,mgachi,100,RU,1573517486,97,51.05,142.27,33.84,7.65
333,burnie,50,AU,1573517487,49,-41.05,145.91,54.0,17.0
334,terre haute,90,US,1573517487,92,39.47,-87.41,28.0,19.86
335,constitucion,90,MX,1573517487,42,23.99,-104.67,68.0,6.93
336,nome,90,US,1573517487,83,30.04,-94.42,73.4,4.7
337,launceston,42,AU,1573517487,38,-41.43,147.14,59.0,19.46
338,kodinsk,100,RU,1573517487,89,58.6,99.18,-6.18,9.13
339,muskegon,90,US,1573517487,68,43.23,-86.25,28.4,14.99
340,chifeng,98,CN,1573517487,59,42.27,118.96,36.86,6.46
341,zaysan,36,KZ,1573517488,59,47.47,84.87,14.77,1.23
342,nova olimpia,100,BR,1573517488,94,-14.8,-57.29,73.06,0.94
343,grand island,1,US,1573517190,66,40.92,-98.34,17.6,8.05
344,novopokrovka,90,UA,1573517488,100,49.84,36.56,48.2,4.47
345,isangel,20,VU,1573517488,54,-19.55,169.27,80.6,16.11
346,mount gambier,90,AU,1573517488,62,-37.83,140.78,53.6,19.46
347,ukiah,1,US,1573517488,21,39.15,-123.21,82.4,3.31
348,derzhavinsk,34,KZ,1573517488,89,51.1,66.31,25.03,16.06
349,road town,40,VG,1573517295,74,18.42,-64.62,82.4,9.17
350,skjervoy,86,NO,1573517489,71,70.03,20.97,27.54,21.97
351,coihaique,49,CL,1573517489,37,-45.58,-72.07,71.6,6.93
352,dumai,100,ID,1573517489,95,1.68,101.45,74.97,2.21
353,ixtapa,75,MX,1573517489,74,20.71,-105.21,86.0,8.05
354,yumen,100,CN,1573517489,76,40.29,97.04,29.17,24.18
355,sorland,0,NO,1573517489,65,67.67,12.69,34.12,13.04
356,bunia,100,CD,1573517489,78,1.56,30.25,71.65,2.24
357,motygino,91,RU,1573517489,96,58.18,94.69,-6.09,6.38
358,bom jesus da lapa,21,BR,1573517489,17,-13.25,-43.41,91.4,8.05
359,neiafu,90,TO,1573517489,94,-18.65,-173.98,77.0,4.7
360,rancho palos verdes,20,US,1573517490,72,33.75,-118.37,79.0,12.75
361,torrington,1,US,1573517490,66,42.06,-104.18,19.4,4.45
362,madison,75,US,1573517490,52,43.07,-89.38,18.0,14.99
363,lata,100,IN,1573517490,29,30.78,78.62,26.53,5.93
364,ozinki,75,RU,1573517490,82,51.2,49.73,40.93,5.53
365,punta alta,82,AR,1573517490,69,-27.46,-55.82,80.6,5.82
366,osesti,75,RO,1573517490,87,46.77,27.47,50.0,8.05
367,natal,20,BR,1573517228,78,-5.81,-35.21,78.8,12.75
368,olavarria,50,AR,1573517490,68,-36.89,-60.32,69.01,4.0
369,los llanos de aridane,75,ES,1573517491,68,28.66,-17.92,69.8,14.99
370,thompson,20,CA,1573517491,76,55.74,-97.86,-4.01,4.7
371,hay river,20,CA,1573517491,61,60.82,-115.79,14.0,9.17
372,upernavik,100,GL,1573517491,65,72.79,-56.15,23.61,3.65
373,honiara,35,SB,1573517491,62,-9.43,159.96,84.83,5.14
374,natchez,90,US,1573517491,93,31.56,-91.4,68.0,4.7
375,neepawa,5,CA,1573517491,65,50.23,-99.46,5.0,8.05
376,klaksvik,89,FO,1573517491,80,62.23,-6.59,33.8,8.05
377,radcliff,90,US,1573517492,100,37.84,-85.95,39.2,11.41
378,allende,75,MX,1573517492,82,28.34,-100.85,57.2,17.22
379,newport,25,GB,1573517492,86,51.59,-3.0,45.0,16.11
380,tolga,75,DZ,1573517492,50,34.73,5.38,57.2,34.45
381,nishihara,20,JP,1573517492,76,35.74,139.53,66.99,4.7
382,fairbanks,90,US,1573517295,79,64.84,-147.72,25.0,0.85
